loan_id,age,annual_income,employment_years,credit_score,loan_amount,loan_term_months,debt_to_income,num_credit_lines,num_late_payments,has_mortgage,home_ownership,loan_purpose,state_region,monthly_obligations,loan_outcome
7C76CE5039AC,45,35000.0,16.2,647,42400.0,60,0.157,3.0,0,0,Mortgage,Education,West,1229.43,1
08B5B68397B9,52,85900.0,2.3,764,78600.0,60,0.252,4.0,0,0,Mortgage,Education,Northeast,1348.14,0
6417373B7443,45,43600.0,21.1,739,45200.0,36,0.225,7.0,0,0,Rent,Home Improvement,Southwest,1856.57,0
28FECDE414C4,50,22200.0,16.0,677,35700.0,60,0.325,8.0,4,0,Own,Business,Southeast,3553.31,2
D8BE81E49B7D,43,89100.0,15.4,679,32800.0,36,0.152,2.0,0,1,Rent,Other,Southwest,1297.59,0
1034EB8929B5,45,33100.0,11.9,727,83600.0,60,0.106,6.0,0,0,Mortgage,Debt Consolidation,Southeast,2753.28,1
A300B62648F1,50,276800.0,,771,358200.0,24,0.115,3.0,0,1,Own,Debt Consolidation,Northeast,1976.03,0
2427B8A4F047,25,41100.0,6.6,815,29300.0,60,0.163,5.0,2,1,Own,Home Improvement,Southwest,2150.35,1
61F6759CC00D,38,17400.0,3.3,687,24200.0,36,0.216,7.0,1,1,Rent,Education,Southeast,1032.85,1
F3B5AA71FAC5,36,138000.0,6.4,546,50200.0,60,0.098,3.0,0,0,Mortgage,Home Improvement,West,1465.94,1
97B184C3FDF5,34,51000.0,0.0,765,18900.0,60,0.161,8.0,2,0,Own,Home Improvement,Midwest,2265.08,0
ACF1D0E12F9F,39,60500.0,13.7,676,179400.0,36,0.267,9.0,0,0,Rent,Education,Northeast,2783.09,2
A9681E75EC62,60,64900.0,2.0,755,51900.0,60,0.391,7.0,3,0,Rent,Home Improvement,Southwest,661.12,1
E10C5920F27E,32,24900.0,,850,41500.0,24,0.12,7.0,1,0,Mortgage,Debt Consolidation,Midwest,651.56,0
239E4EB1DF8D,54,16000.0,15.4,682,17700.0,24,0.271,6.0,3,1,Own,Debt Consolidation,Southeast,1189.3,2
4F6BC4CA3412,22,154000.0,12.1,673,81000.0,36,0.291,6.0,1,0,Rent,Home Improvement,Southwest,3266.04,0
723F8BD917DC,38,22300.0,5.9,588,58700.0,60,0.347,7.0,0,1,Rent,Home Improvement,Southwest,1825.87,2
6848D0F99A52,44,129400.0,3.2,834,88400.0,24,0.184,,0,0,Own,Debt Consolidation,West,637.07,0
3037A59AB031,49,70200.0,4.2,468,51400.0,60,0.276,5.0,1,0,Own,Home Improvement,Southwest,2001.63,1
CBE8B7AD7CAF,51,57900.0,2.6,692,88700.0,60,0.15,3.0,1,1,Own,Education,Southwest,1937.63,2
272BAA08420C,52,40600.0,9.9,764,39200.0,36,0.182,3.0,1,1,Rent,Debt Consolidation,Midwest,1076.35,0
F99F15E924DD,38,187200.0,,671,89100.0,36,0.192,2.0,3,1,Rent,Business,Northeast,2579.78,1
B63C3B3D2F6D,36,35900.0,25.3,571,28000.0,60,0.193,5.0,0,1,Own,Home Improvement,Southwest,1639.51,1
4AD351F6D3EE,52,36500.0,24.9,565,41000.0,36,0.133,8.0,0,1,Rent,Debt Consolidation,Midwest,1128.97,2
B620B0CD8991,40,76100.0,22.2,660,24800.0,48,0.218,4.0,3,1,Rent,Home Improvement,Midwest,1432.98,1
6AE4615E7420,27,36300.0,8.4,740,98800.0,60,0.144,6.0,0,1,Own,Business,Northeast,3000.77,2
AD07EDD263D5,28,30200.0,0.0,704,23700.0,60,0.2,6.0,2,0,Rent,Debt Consolidation,Southeast,1205.45,1
543E6834DD4D,31,51000.0,11.5,613,58400.0,60,0.177,4.0,0,1,Rent,Other,Southwest,1492.81,1
E1B7A1D48EE3,48,76800.0,8.0,783,31700.0,60,0.103,3.0,2,1,Rent,Education,Midwest,1523.2,0
985C7D8A4E0E,44,147900.0,,776,44400.0,36,0.297,7.0,0,1,Rent,Home Improvement,West,1719.38,0
C3320FE981E5,50,165500.0,13.5,613,101800.0,36,0.136,7.0,5,1,Own,Home Improvement,Northeast,1252.45,1
4FC0632B2AED,37,19700.0,15.6,589,28600.0,24,0.102,,0,1,Rent,Debt Consolidation,Northeast,263.52,0
05ACA51F6CD2,44,93400.0,0.0,770,27400.0,60,0.303,7.0,1,0,Rent,Debt Consolidation,Northeast,1916.19,0
5AE8BFC79D99,50,30600.0,20.4,659,49800.0,36,0.143,3.0,1,0,Own,Home Improvement,West,2167.41,2
5E424ADEC369,38,31500.0,17.7,706,83500.0,60,0.187,7.0,0,1,Rent,Home Improvement,West,779.27,1
35A658E83CE6,47,39100.0,,766,25000.0,36,0.214,5.0,4,0,Rent,Debt Consolidation,Southwest,1083.02,0
14C930F204EE,34,37800.0,17.1,539,30500.0,36,0.244,6.0,0,1,Own,Debt Consolidation,Midwest,595.0,1
808B211CD646,38,29200.0,8.0,696,61300.0,60,0.338,2.0,4,1,Rent,Home Improvement,Northeast,2741.72,2
89F8E119E477,37,15000.0,10.3,694,33100.0,36,0.11,8.0,0,0,Mortgage,Debt Consolidation,Southwest,2444.27,2
6419B517D08F,28,116700.0,8.8,612,50200.0,60,0.36,8.0,6,1,Own,Home Improvement,Northeast,2260.07,2
ECBDD621D6CB,48,86300.0,4.2,587,93300.0,60,0.094,8.0,1,0,Rent,Education,West,1119.44,0
DB43EA912DE8,36,52200.0,0.0,629,45900.0,60,0.352,5.0,0,1,Rent,Education,Southeast,1147.01,1
13EFC5436B53,42,30900.0,31.9,518,57400.0,60,0.183,2.0,0,0,Mortgage,Home Improvement,Midwest,2455.26,2
A78B68C5536B,48,103900.0,15.0,555,199400.0,60,0.287,8.0,0,1,Rent,Other,Southeast,2015.92,2
5E7A4A3C5407,47,50900.0,11.1,779,117100.0,24,0.275,3.0,3,1,Rent,Home Improvement,Midwest,1131.17,1
45FB994AE161,50,38400.0,24.5,602,33500.0,48,0.303,5.0,0,0,Rent,Debt Consolidation,Northeast,2648.41,1
04AE6265C91D,41,21300.0,0.0,560,29300.0,24,0.191,6.0,1,0,Mortgage,Debt Consolidation,Southwest,440.15,2
2E9299717678,37,70800.0,8.0,670,52100.0,36,0.173,6.0,5,1,Rent,Other,Southeast,2448.99,2
AE92DA0FEC4D,41,43800.0,5.1,618,72100.0,60,0.326,6.0,1,0,Mortgage,Business,Northeast,1388.37,2
EADF73D5C9A6,22,60800.0,6.1,622,60900.0,36,0.112,4.0,1,1,Rent,Debt Consolidation,Southeast,1093.99,0
19B58A38C8D7,25,57800.0,10.2,783,69700.0,36,0.219,8.0,0,1,Own,Business,Northeast,2511.11,0
EEF335579EE0,26,74700.0,,850,39200.0,60,0.245,2.0,0,0,Rent,Education,Northeast,2473.42,0
DF7BE456DB5A,30,59400.0,0.0,740,55800.0,60,0.13,4.0,0,0,Own,Education,Midwest,0.0,0
E0BF3968EF26,47,44600.0,1.9,547,23600.0,60,0.119,8.0,0,1,Rent,Home Improvement,Midwest,683.17,2
42990C47927C,31,71500.0,2.6,647,68300.0,60,0.168,6.0,0,1,Rent,Debt Consolidation,Northeast,789.51,0
8FA8BAA74903,37,88900.0,6.4,752,43800.0,60,0.199,6.0,1,0,Own,Home Improvement,Northeast,1245.31,0
F9CCAF37EA56,58,123400.0,2.4,652,42300.0,36,0.244,3.0,0,1,Own,Home Improvement,Midwest,1775.14,0
141D98365EA4,38,28500.0,8.6,644,42200.0,36,0.219,2.0,4,1,Rent,Other,Southeast,1204.63,2
BDB0C5A02376,51,97200.0,8.8,683,75400.0,24,0.467,3.0,0,1,Rent,Business,West,2214.07,1
B2255C20B104,31,22000.0,0.0,809,27300.0,36,0.124,,1,0,Mortgage,Business,Southeast,2031.47,1
D6EB80350BB2,40,92100.0,1.4,540,65900.0,48,0.2,7.0,1,0,Own,Debt Consolidation,Midwest,526.48,1
ECB30E42C42A,31,38100.0,11.7,686,30700.0,60,0.299,4.0,3,1,Own,Other,Midwest,1925.55,2
97F988DEF854,38,83700.0,9.1,499,44600.0,60,0.504,7.0,2,0,Rent,Business,West,814.21,2
ECA9FD3D0B00,52,119800.0,0.0,775,51300.0,24,0.423,2.0,2,0,Mortgage,Business,Northeast,1120.1,0
340DDECB6930,21,59800.0,16.4,692,69300.0,48,0.467,4.0,0,1,Mortgage,Debt Consolidation,Northeast,685.82,1
2897AFFA71E0,47,52800.0,14.9,626,57600.0,60,0.274,10.0,1,1,Mortgage,Home Improvement,Midwest,1716.97,1
72575FCFB8FA,45,51300.0,28.6,741,15400.0,60,0.206,7.0,0,0,Own,Debt Consolidation,Southeast,0.0,0
C1B049926657,35,41800.0,,624,102600.0,48,0.205,5.0,0,0,Rent,Debt Consolidation,West,2498.5,2
500A749EE8CD,25,100600.0,3.2,565,21900.0,24,0.229,7.0,0,1,Rent,Business,Northeast,1786.11,2
8E63F442EFF8,43,51100.0,,840,30400.0,60,0.281,5.0,2,1,Mortgage,Debt Consolidation,Southwest,1152.0,0
AB734F9475FA,36,16400.0,10.3,660,55300.0,60,0.244,,0,1,Rent,Debt Consolidation,Midwest,2267.77,2
3482671D1D4D,45,88100.0,20.2,688,53900.0,24,0.269,4.0,3,0,Rent,Debt Consolidation,Northeast,1263.43,1
F4F8FFD3EE91,42,85600.0,7.7,774,95800.0,60,0.143,3.0,3,1,Rent,Business,Southeast,1750.38,0
D17561F7710A,61,55500.0,20.8,816,73000.0,24,0.127,6.0,1,1,Mortgage,Education,Midwest,1635.06,0
5CF6E5A255CD,39,35100.0,12.3,681,29700.0,12,0.102,5.0,1,1,Rent,Debt Consolidation,Southeast,694.23,0
474BE498CA56,30,28600.0,3.6,850,65100.0,36,0.232,4.0,1,1,Mortgage,Education,Midwest,1669.37,2
EA3F4AA1217F,44,35200.0,0.6,744,56200.0,24,0.076,3.0,1,1,Mortgage,Other,Midwest,2218.62,1
2A56AD98A8EF,45,60400.0,18.1,834,60500.0,36,0.315,6.0,4,0,Mortgage,Debt Consolidation,Southwest,242.76,1
44CF43682508,58,19700.0,17.7,623,32500.0,12,0.165,,2,0,Rent,Debt Consolidation,West,789.07,2
FC3172DF97A8,52,68400.0,18.8,628,215700.0,60,0.325,6.0,0,0,Own,Education,Southeast,140.64,2
09A396C715A1,46,56400.0,0.0,698,45900.0,36,0.212,4.0,0,1,Mortgage,Business,Southeast,1953.92,1
8F395FEADF15,60,110000.0,9.0,604,123800.0,24,0.295,4.0,0,1,Rent,Home Improvement,West,909.02,1
F3A420076EAF,28,79700.0,20.0,809,113300.0,60,0.162,6.0,4,1,Own,Other,Northeast,2245.18,0
91C6C3543583,34,36400.0,0.0,628,86400.0,12,0.299,3.0,0,1,Rent,Debt Consolidation,Southeast,1220.42,2
1628FA024854,31,21400.0,14.5,620,75400.0,36,0.206,8.0,2,0,Rent,Home Improvement,Midwest,2571.1,2
9A7432440AA4,37,34500.0,5.6,526,45700.0,60,0.144,,0,1,Rent,Business,Southeast,896.66,1
5E1BBAB66E2E,25,115800.0,2.5,614,77900.0,36,0.418,6.0,0,1,Mortgage,Debt Consolidation,Midwest,687.47,1
2992505D4B86,50,63700.0,4.2,466,106900.0,36,0.197,5.0,1,1,Mortgage,Debt Consolidation,Northeast,1140.04,2
28B7B3A1388B,39,75200.0,22.6,634,47700.0,24,0.217,5.0,0,0,Own,Debt Consolidation,West,1540.56,1
51C7D7A11242,24,38300.0,17.2,486,31100.0,60,0.115,6.0,2,0,Rent,Debt Consolidation,Northeast,2339.77,2
1E5896AA411C,30,70700.0,9.1,587,90200.0,12,0.372,2.0,0,0,Own,Business,Northeast,1991.23,1
0F74F4BC76C4,46,23500.0,27.6,609,22000.0,24,0.142,,2,1,Mortgage,Home Improvement,West,1659.16,1
1C4261A675C8,52,90600.0,0.0,656,58500.0,60,0.215,3.0,0,1,Rent,Debt Consolidation,Southwest,1974.27,0
B2CDEC200057,66,28700.0,4.9,716,39600.0,24,0.418,2.0,0,1,Rent,Business,Southwest,3298.79,2
1428226B81C5,75,18300.0,22.8,678,31300.0,36,0.186,4.0,3,1,Mortgage,Education,Southeast,1700.73,2
3FE195D52446,47,188000.0,8.6,716,98700.0,24,0.233,4.0,7,0,Rent,Business,Southwest,1018.82,2
6D94C50FDE3A,30,58300.0,8.3,751,86500.0,36,0.253,5.0,1,1,Rent,Other,Northeast,1011.0,0
8C79A84F5587,18,57500.0,9.0,719,126900.0,12,0.154,2.0,0,1,Mortgage,Debt Consolidation,Southwest,2758.4,2
5EDB8BFD8EBB,45,19400.0,6.3,671,22700.0,60,0.168,1.0,0,1,Own,Debt Consolidation,West,2067.37,1
377926D0F7EE,32,76300.0,17.4,797,73800.0,60,0.272,6.0,0,0,Own,Debt Consolidation,Northeast,2256.0,0
02FF5069B11B,37,88200.0,3.4,684,65900.0,36,0.314,6.0,2,1,Own,Home Improvement,West,1678.51,1
63A003D9289C,35,48600.0,31.5,570,58600.0,36,0.109,5.0,0,1,Rent,Debt Consolidation,Southwest,1933.97,2
69837167B449,40,88400.0,0.0,698,60300.0,36,0.188,6.0,0,1,Mortgage,Home Improvement,Midwest,1084.9,0
D4CD804AD0FA,55,103100.0,23.5,713,46100.0,48,0.197,2.0,4,1,Mortgage,Debt Consolidation,Midwest,1898.23,1
3833210E2B4F,44,72300.0,16.6,626,79900.0,48,0.142,3.0,2,0,Rent,Debt Consolidation,Midwest,1436.35,1
E5A887A90F05,40,16500.0,4.5,789,21600.0,60,0.101,5.0,1,0,Mortgage,Home Improvement,Midwest,528.84,0
0D9EEB2DB8EA,30,28800.0,12.1,688,53100.0,24,0.252,,2,0,Rent,Home Improvement,Southeast,944.31,2
A76D6B95145B,22,137000.0,16.8,595,133400.0,60,0.205,2.0,4,0,Mortgage,Debt Consolidation,Southwest,633.41,2
1C4F10BF774B,36,56700.0,15.0,555,26300.0,60,0.24,6.0,0,0,Rent,Debt Consolidation,West,854.72,1
DCF45053895B,41,56800.0,0.0,553,81500.0,60,0.315,6.0,0,1,Mortgage,Other,Northeast,2171.36,2
B4B117F8CC5E,63,34300.0,13.1,850,28500.0,60,0.129,4.0,0,0,Own,Debt Consolidation,Southeast,786.47,0
D7B5D2AC0C6C,44,38200.0,0.0,682,12900.0,60,0.135,3.0,0,1,Rent,Business,West,1918.52,1
DBF204AACD44,54,104400.0,18.4,721,88400.0,60,0.204,8.0,3,0,Rent,Education,Northeast,2344.89,0
86E315A5A378,36,123500.0,18.6,619,76400.0,36,0.116,6.0,8,0,Mortgage,Other,Southeast,2708.94,1
9028144E94A8,28,84000.0,0.0,746,80600.0,36,0.233,3.0,0,0,Mortgage,Home Improvement,Northeast,1197.71,0
D2929FCD7240,30,73400.0,0.0,663,51400.0,60,0.257,4.0,2,1,Mortgage,Other,Midwest,2160.66,2
72C08D6CC163,33,76500.0,7.6,658,25800.0,60,0.201,6.0,6,1,Own,Education,Northeast,1204.72,1
7E198D3FDC9C,68,52100.0,8.1,662,83200.0,60,0.117,6.0,1,0,Mortgage,Debt Consolidation,Southwest,1197.96,1
51FAE8F20C52,32,27900.0,10.1,562,31500.0,36,0.085,6.0,0,1,Rent,Debt Consolidation,Southeast,1380.04,2
89E449C04D7A,52,24800.0,,738,72000.0,24,0.097,,2,1,Rent,Debt Consolidation,Southwest,2396.15,1
84F1F627037D,31,111600.0,8.8,831,51700.0,36,0.155,4.0,2,1,Mortgage,Other,Southeast,0.0,0
2598732E6962,53,53200.0,10.8,705,99500.0,48,0.154,7.0,1,0,Rent,Business,Southeast,1253.72,2
42FCE2165EC6,47,70400.0,3.3,664,32900.0,60,0.272,7.0,1,1,Rent,Home Improvement,West,1963.66,1
E48B9B4876C6,40,60800.0,1.8,600,41900.0,48,0.095,6.0,0,1,Own,Debt Consolidation,Southwest,1402.33,1
A9F4F06D7961,42,62600.0,,652,49900.0,60,0.175,7.0,0,1,Own,Education,Northeast,2384.02,1
E394341C5B6E,34,65500.0,,607,55900.0,60,0.091,6.0,1,1,Own,Home Improvement,Northeast,0.0,0
35AB436C261F,47,79500.0,7.1,526,51500.0,60,0.207,5.0,2,0,Own,Home Improvement,Southeast,497.49,2
E32055808FB3,37,35500.0,,648,96100.0,60,0.071,8.0,1,0,Own,Debt Consolidation,Northeast,563.52,1
2DF90D2C6B72,27,103800.0,22.4,662,81700.0,36,0.195,7.0,1,1,Mortgage,Debt Consolidation,Southeast,2369.91,0
3FB62B8E65D7,27,36100.0,23.7,698,59200.0,48,0.133,6.0,1,1,Rent,Debt Consolidation,Northeast,845.44,1
81F095B690B0,44,61800.0,19.1,781,81400.0,36,0.228,4.0,0,1,Rent,Education,Southwest,2187.76,0
1B9E717C346A,61,28300.0,15.1,707,69200.0,36,0.166,7.0,1,0,Own,Education,Southeast,1602.49,2
9765F48F8D29,44,49400.0,1.3,607,110600.0,24,0.182,6.0,0,0,Mortgage,Other,West,1604.76,2
2B68C026A333,41,37700.0,20.2,723,57700.0,24,0.327,3.0,0,1,Mortgage,Education,Southwest,1701.91,1
B23813A5AEE4,45,54900.0,14.6,601,21800.0,36,0.269,3.0,0,1,Rent,Other,Midwest,2440.6,1
9D979710ED3D,58,81200.0,1.8,654,87300.0,60,0.196,2.0,2,1,Mortgage,Other,Northeast,1277.35,0
E95FD22618BD,45,56500.0,15.6,678,23900.0,60,0.107,7.0,2,1,Rent,Other,Southwest,666.03,0
BBD4E67EF811,37,159300.0,5.9,714,115700.0,60,0.152,1.0,0,0,Rent,Debt Consolidation,Southwest,1657.25,0
9BB860D848F8,55,83900.0,16.6,659,36100.0,24,0.136,5.0,0,1,Rent,Home Improvement,West,895.21,0
2855397D5591,47,47800.0,19.2,519,57500.0,48,0.366,3.0,1,0,Rent,Debt Consolidation,Northeast,420.2,2
0CFA52C052F3,60,51700.0,14.2,644,44500.0,60,0.115,4.0,2,0,Own,Other,Midwest,1461.14,1
F70C5804A5A4,44,66700.0,3.3,599,103300.0,36,0.416,3.0,5,1,Mortgage,Debt Consolidation,Southeast,810.6,2
44E909A29BB3,27,79800.0,14.9,608,83800.0,48,0.111,7.0,0,0,Rent,Business,Midwest,747.47,0
E880B120607A,26,27500.0,14.5,604,12900.0,60,0.341,4.0,0,1,Mortgage,Business,Midwest,790.62,1
FB47CDC9AAA7,62,76900.0,,657,69600.0,60,0.381,10.0,1,1,Rent,Business,Southwest,1226.28,1
0C35B8A16593,63,27900.0,7.3,712,83300.0,60,0.256,,0,1,Rent,Home Improvement,West,964.9,2
CE96F90E1D8B,40,72900.0,25.2,736,66700.0,60,0.111,3.0,3,0,Rent,Debt Consolidation,Southwest,801.01,0
72CE4EE0921C,37,99200.0,23.3,622,112600.0,36,0.182,6.0,0,0,Rent,Home Improvement,Southwest,1730.57,0
BC7C27424E72,60,63900.0,5.6,530,58200.0,60,0.496,5.0,2,0,Mortgage,Other,Midwest,1874.74,2
954D2501D65C,29,15100.0,0.0,599,23200.0,36,0.394,3.0,1,0,Rent,Debt Consolidation,Southwest,37.25,2
8AD55B4764F4,31,20300.0,21.9,784,58000.0,36,0.155,6.0,0,1,Own,Business,Southwest,3605.19,1
94E3B7EB7B55,50,73800.0,27.0,732,47800.0,60,0.477,4.0,1,0,Mortgage,Home Improvement,West,3056.77,0
2FC2BC93D29E,37,15000.0,,762,30600.0,60,0.297,,2,1,Own,Other,Southwest,1282.5,1
468FA5623E51,42,75800.0,7.2,681,19900.0,36,0.103,4.0,1,0,Own,Education,Southwest,197.83,0
6EBF3142178F,40,93100.0,15.4,642,69000.0,48,0.179,9.0,0,1,Rent,Home Improvement,Southwest,1392.27,0
6DE6F830E235,46,101100.0,2.6,558,74100.0,36,0.149,8.0,2,0,Mortgage,Home Improvement,Northeast,2124.62,2
A8FFBA0DDE14,59,47400.0,18.6,754,53500.0,60,0.207,4.0,1,1,Rent,Education,Southwest,150.2,0
C80B307B8425,43,69000.0,5.3,699,56800.0,36,0.089,6.0,0,0,Mortgage,Business,Southeast,2422.05,1
FF7BD776596B,50,60800.0,4.9,631,44900.0,60,0.121,6.0,0,1,Own,Home Improvement,Northeast,1272.1,0
5FAA6CA75554,18,24100.0,9.3,511,21900.0,60,0.226,,0,1,Rent,Debt Consolidation,Northeast,1800.37,2
6B3CE8535ECB,41,81600.0,,785,81700.0,48,0.222,8.0,1,0,Own,Debt Consolidation,Midwest,1322.85,0
C10954A5F100,32,116400.0,15.9,777,79200.0,36,0.232,10.0,0,0,Rent,Other,West,1392.94,0
852C24744678,27,79200.0,3.2,636,68600.0,36,0.226,5.0,0,1,Own,Debt Consolidation,Northeast,2038.59,0
7FA674C5E501,31,41100.0,30.7,664,73700.0,60,0.205,4.0,0,0,Mortgage,Other,Northeast,2270.04,2
8FE2395D10F0,38,81400.0,14.4,633,106100.0,60,0.139,6.0,3,1,Mortgage,Other,Midwest,2103.76,1
40B043B21709,53,110600.0,7.2,656,34100.0,36,0.116,4.0,0,1,Own,Other,West,2445.45,0
2CC8FB4F1CEC,26,102900.0,2.2,471,88200.0,60,0.399,5.0,1,0,Own,Education,Northeast,3041.23,2
F9062F6CAC7D,42,95300.0,7.5,707,121100.0,48,0.196,3.0,0,0,Mortgage,Business,Northeast,545.24,1
6E6ADB27D1FD,36,22600.0,8.3,628,44600.0,12,0.297,,0,0,Rent,Debt Consolidation,Northeast,2809.07,2
145D1E6CFE11,38,67400.0,7.8,645,74600.0,60,0.294,5.0,0,0,Mortgage,Home Improvement,Southeast,1057.17,0
752DB343E441,54,77300.0,6.0,610,45600.0,36,0.087,6.0,0,0,Rent,Debt Consolidation,Northeast,1606.96,0
51CFB9BB7B7E,48,95900.0,3.4,649,103100.0,48,0.216,11.0,3,0,Rent,Debt Consolidation,Southeast,806.29,1
B216F2B4F218,58,71900.0,17.3,714,21600.0,36,0.112,2.0,0,1,Rent,Debt Consolidation,Midwest,1326.89,0
954911304B1A,40,127200.0,21.3,713,85300.0,60,0.237,6.0,0,0,Own,Other,West,2079.33,1
A018ED05D586,34,19800.0,3.1,672,16400.0,60,0.156,6.0,1,1,Mortgage,Business,Southwest,1068.35,1
